Month,Monthly beer production
07/01/1966,89.1
08/01/1966,105.2
09/01/1966,114
10/01/1966,122.1
11/01/1966,138
12/01/1966,142.2
01/01/1967,116.4
02/01/1967,112.6
03/01/1967,123.8
04/01/1967,103.6
05/01/1967,113.9
06/01/1967,98.6
07/01/1967,95
08/01/1967,116
09/01/1967,113.9
10/01/1967,127.5
11/01/1967,131.4
12/01/1967,145.9
01/01/1968,131.5
02/01/1968,131
03/01/1968,130.5
04/01/1968,118.9
05/01/1968,114.3
06/01/1968,85.7
07/01/1968,104.6
08/01/1968,105.1
09/01/1968,117.3
10/01/1968,142.5
11/01/1968,140
12/01/1968,159.8
01/01/1969,131.2
02/01/1969,125.4
03/01/1969,126.5
04/01/1969,119.4
05/01/1969,113.5
06/01/1969,98.7
07/01/1969,114.5
08/01/1969,113.8
09/01/1969,133.1
10/01/1969,143.4
11/01/1969,137.3
12/01/1969,165.2
01/01/1970,126.9
02/01/1970,124
03/01/1970,135.7
04/01/1970,130
05/01/1970,109.4
06/01/1970,117.8
07/01/1970,120.3
08/01/1970,121
09/01/1970,132.3
10/01/1970,142.9
11/01/1970,147.4
12/01/1970,175.9
01/01/1971,132.6
02/01/1971,123.7
03/01/1971,153.3
04/01/1971,134
05/01/1971,119.6
06/01/1971,116.2
07/01/1971,118.6
08/01/1971,130.7
09/01/1971,129.3
10/01/1971,144.4
11/01/1971,163.2
12/01/1971,179.4
01/01/1972,128.1
02/01/1972,138.4
03/01/1972,152.7
04/01/1972,120
05/01/1972,140.5
06/01/1972,116.2
07/01/1972,121.4
08/01/1972,127.8
09/01/1972,143.6
10/01/1972,157.6
11/01/1972,166.2
12/01/1972,182.3
01/01/1973,153.1
02/01/1973,147.6
03/01/1973,157.7
04/01/1973,137.2
05/01/1973,151.5
06/01/1973,98.7
07/01/1973,145.8
08/01/1973,151.7
09/01/1973,129.4
10/01/1973,174.1
11/01/1973,197
12/01/1973,193.9
01/01/1974,164.1
02/01/1974,142.8
03/01/1974,157.9
04/01/1974,159.2
05/01/1974,162.2
06/01/1974,123.1
07/01/1974,130
08/01/1974,150.1
09/01/1974,169.4
10/01/1974,179.7
11/01/1974,182.1
12/01/1974,194.3
01/01/1975,161.4
02/01/1975,169.4
03/01/1975,168.8
04/01/1975,158.1
05/01/1975,158.5
06/01/1975,135.3
07/01/1975,149.3
08/01/1975,143.4
09/01/1975,142.2
10/01/1975,188.4
11/01/1975,166.2
12/01/1975,199.2
01/01/1976,182.7
02/01/1976,145.2
03/01/1976,182.1
04/01/1976,158.7
05/01/1976,141.6
06/01/1976,132.6
07/01/1976,139.6
08/01/1976,147
09/01/1976,166.6
10/01/1976,157
11/01/1976,180.4
12/01/1976,210.2
01/01/1977,159.8
02/01/1977,157.8
03/01/1977,168.2
04/01/1977,158.4
05/01/1977,152
06/01/1977,142.2
07/01/1977,137.2
08/01/1977,152.6
09/01/1977,166.8
10/01/1977,165.6
11/01/1977,198.6
12/01/1977,201.5
01/01/1978,170.7
02/01/1978,164.4
03/01/1978,179.7
04/01/1978,157
05/01/1978,168
06/01/1978,139.3
07/01/1978,138.6
08/01/1978,153.4
09/01/1978,138.9
10/01/1978,172.1
11/01/1978,198.4
12/01/1978,217.8
01/01/1979,173.7
02/01/1979,153.8
03/01/1979,175.6
04/01/1979,147.1
05/01/1979,160.3
06/01/1979,135.2
07/01/1979,148.8
08/01/1979,151
09/01/1979,148.2
10/01/1979,182.2
11/01/1979,189.2
12/01/1979,183.1
01/01/1980,170
02/01/1980,158.4
03/01/1980,176.1
04/01/1980,156.2
05/01/1980,153.2
06/01/1980,117.9
07/01/1980,149.8
08/01/1980,156.6
09/01/1980,166.7
10/01/1980,156.8
11/01/1980,158.6
12/01/1980,210.8
01/01/1981,203.6
02/01/1981,175.2
03/01/1981,168.7
04/01/1981,155.9
05/01/1981,147.3
06/01/1981,137
07/01/1981,141.1
08/01/1981,167.4
09/01/1981,160.2
10/01/1981,191.9
11/01/1981,174.4
12/01/1981,208.2
01/01/1982,159.4
02/01/1982,161.1
03/01/1982,172.1
04/01/1982,158.4
05/01/1982,114.6
06/01/1982,159.6
07/01/1982,159.7
08/01/1982,159.4
09/01/1982,160.7
10/01/1982,165.5
11/01/1982,205
12/01/1982,205.2
01/01/1983,141.6
02/01/1983,148.1
03/01/1983,184.9
04/01/1983,132.5
05/01/1983,137.3
06/01/1983,135.5
07/01/1983,121.7
08/01/1983,166.1
09/01/1983,146.8
10/01/1983,162.8
11/01/1983,186.8
12/01/1983,185.5
01/01/1984,151.5
02/01/1984,158.1
03/01/1984,143
04/01/1984,151.2
05/01/1984,147.6
06/01/1984,130.7
07/01/1984,137.5
08/01/1984,146.1
09/01/1984,133.6
10/01/1984,167.9
11/01/1984,181.9
12/01/1984,202
01/01/1985,166.5
02/01/1985,151.3
03/01/1985,146.2
04/01/1985,148.3
05/01/1985,144.7
06/01/1985,123.6
07/01/1985,151.6
08/01/1985,133.9
09/01/1985,137.4
10/01/1985,181.6
11/01/1985,182
12/01/1985,190
01/01/1986,161.2
02/01/1986,155.5
03/01/1986,141.9
04/01/1986,164.6
05/01/1986,136.2
06/01/1986,126.8
07/01/1986,152.5
08/01/1986,126.6
09/01/1986,150.1
10/01/1986,186.3
11/01/1986,147.5
12/01/1986,200.4
01/01/1987,177.2
02/01/1987,127.4
03/01/1987,177.1
04/01/1987,154.4
05/01/1987,135.2
06/01/1987,126.4
07/01/1987,147.3
08/01/1987,140.6
09/01/1987,152.3
10/01/1987,151.2
11/01/1987,172.2
12/01/1987,215.3
01/01/1988,154.1
02/01/1988,159.3
03/01/1988,160.4
04/01/1988,151.9
05/01/1988,148.4
06/01/1988,139.6
07/01/1988,148.2
08/01/1988,153.5
09/01/1988,145.1
10/01/1988,183.7
11/01/1988,210.5
12/01/1988,203.3
01/01/1989,153.3
02/01/1989,144.3
03/01/1989,169.6
04/01/1989,143.7
05/01/1989,160.1
06/01/1989,135.6
07/01/1989,141.8
08/01/1989,159.9
09/01/1989,145.7
10/01/1989,183.5
11/01/1989,198.2
12/01/1989,186.8
01/01/1990,172
02/01/1990,150.6
03/01/1990,163.3
04/01/1990,153.7
05/01/1990,152.9
06/01/1990,135.5
07/01/1990,148.5
08/01/1990,148.4
09/01/1990,133.6
10/01/1990,194.1
11/01/1990,208.6
12/01/1990,197.3
01/01/1991,164.4
02/01/1991,148.1
03/01/1991,152
04/01/1991,144.1
05/01/1991,155
06/01/1991,124.5
07/01/1991,153
08/01/1991,146
09/01/1991,138
10/01/1991,190
11/01/1991,192
12/01/1991,192
01/01/1992,147
02/01/1992,133
03/01/1992,163
04/01/1992,150
05/01/1992,129
06/01/1992,131
07/01/1992,145
08/01/1992,137
09/01/1992,138
10/01/1992,168
11/01/1992,176
12/01/1992,188
01/01/1993,139
02/01/1993,143
03/01/1993,150
04/01/1993,154
05/01/1993,137
06/01/1993,129
07/01/1993,128
08/01/1993,140
09/01/1993,143
10/01/1993,151
11/01/1993,177
12/01/1993,184
01/01/1994,151
02/01/1994,134
03/01/1994,164
04/01/1994,126
05/01/1994,131
06/01/1994,125
07/01/1994,127
08/01/1994,143
09/01/1994,143
10/01/1994,160
11/01/1994,190
12/01/1994,182
01/01/1995,138
02/01/1995,136
03/01/1995,152
04/01/1995,127
05/01/1995,151
06/01/1995,130
07/01/1995,119
08/01/1995,153
